Balaji Warehousing Co Pvt Ltd,,,,,,,,
"Venkus Sadan ,No.610,  2nd Cross,",,,,,,,,
,,Being the amount paid towards - PVC chalan for tender purpose to GOVT of KAR & form.Date:05.06.2020.,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13387,,19659.00
,,Being the amount paid towards FCI rice stock unloading charges 5782 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13388,,19509.00
,,Being the amount paid towards FCI rice stock unloading charges 5738 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13389,,19666.00
,,Being the amount paid towards FCI rice stock unloading charges 5784 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13390,,16674.00
,,Being the amount paid towards FCI rice stock unloading charges 4904 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13391,,16670.00
,,Being the amount paid towards FCI rice stock unloading charges 4903 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13392,,18816.00
,,Being the amount paid towards FCI rice stock unloading charges 5534 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13393,,19666.00
,,Being the amount paid towards FCI rice stock unloading charges 5784 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13394,,18540.00
,,Being the amount paid towards FCI rice stock unloading charges 5453 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13395,,18537.00
,,Being the amount paid towards FCI rice stock unloading charges 5452 Bags @ Rs.3.4/-,,,,,,
06-06-2020,Dr,BGM FCI GH Expense,,,Payment,13396,,13998.00
,,Being the amount paid towards FCI rice stock unloading charges 4666 Bags @ Rs.3/-,,,,,,
06-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,13397,,2850.00
,,Being the amount paid towards FACT stock loading charges 95 mts @ Rs.30/-. as per details enclosed.,,,,,,
06-06-2020,Dr,Bgm Godown Maintenence,,,Payment,13398,,400.00
,,Being the amount paid towards water tank for FCI godown purpose.,,,,,,
08-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1635,70000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
08-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,13632,,1650.00
,,Being the amount paid towards FACT stock loading charges 55 mts @ Rs.30/-. as per details enclosed.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13811,,7000.00
,,Being the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13812,,7000.00
,,Being the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13813,,4500.00
,,Being the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13814,,4500.00
,,Being the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13815,,4500.00
,,Being the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13816,,4500.00
,,the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13817,,4500.00
,,the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh for the month of May 2020.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13818,,4500.00
,,the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh for the month of May 2020.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13819,,7000.00
,,the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh for the month of May 2020.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13820,,8000.00
,,the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh for the month of April-Rs.1000/-  May 2020-Rs.7000/-.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13821,,8000.00
,,the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh for the month of April-Rs.1000/-  May 2020-Rs.7000/-.,,,,,,
09-06-2020,Dr,Bgm Fci Gdn Maintenance Wages,,,Payment,13822,,8000.00
,,the amount paid towards FCI casual labour salary for the month of may 2020 through Umesh for the month of April-Rs.1000/-  May 2020-Rs.7000/-.,,,,,,
09-06-2020,Dr,Bgm Godown Maintenence,,,Payment,13823,,2400.00
,,Being the amount paid towards sheet working & electricity repair godown purpose. approval IOC no. 171/DM/20-21. as per details enclosed.,,,,,,
09-06-2020,Dr,Bgm Fact Rh Other Expenses Payable 19-20,,,Payment,13824,,95616.00
,,Being amount paid t/w Rake & other expenses. Approval IOC no. 139/DM/20-21.,,,,,,
09-06-2020,Dr,Bgm Tpt Maintenence,,,Payment,13825,,1600.00
,,"Being the amount paid towards FACT rake lorry night haulting charges, approval IOC no. 2496/DM/19-20.",,,,,,
09-06-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,13826,,55.00
,,Being amount paid t/w courier charges bill enclosed,,,,,,
09-06-2020,Dr,Bgm Vehicle Maintenence,,,Payment,13827,,380.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
09-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,13828,,450.00
,,Being the amount paid towards FACT stock loading charges 15 mts @ Rs.30/-.,,,,,,
10-06-2020,Dr,Bgm Fact Stand Expense,,,Payment,14024,,340.00
,,Being the amount paid towards Fact stock rebagging charges 34 bags @ 10/-,,,,,,
10-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,14025,,300.00
,,Being the amount paid towards FACT stock loading charges 10 mts @ Rs.30/-.,,,,,,
10-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,14026,,600.00
,,Being the amount paid towards GSFL stock  loading charges - 20 mts @ Rs.30/-,,,,,,
10-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,14027,,6600.00
,,Being the Advance freight amount payable towards FL No:40330.,,,,,,
11-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,1722,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
11-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1723,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
11-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1724,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14400,,13125.00
,,Being the amount paid towards fci unloading charges 4375 bags @ Rs.3/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14401,,18013.00
,,Being the amount paid towards fci unloading charges 5298 bags @ Rs.3.4/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14402,,16500.00
,,Being the amount paid towards fci unloading charges 4853 bags @ Rs.3.4/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14403,,18265.00
,,Being the amount paid towards fci unloading charges 5372 bags @ Rs.3.4/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14404,,19183.00
,,Being the amount paid towards fci unloading charges 5642 bags @ Rs.3.4/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14405,,19798.00
,,Being the amount paid towards fci unloading charges 5823 bags @ Rs.3.4/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14406,,10488.00
,,Being the amount paid towards fci unloading charges 3496 bags @ Rs.3/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14407,,18775.00
,,Being the amount paid towards fci unloading charges 5522 bags @ Rs.3.4/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14408,,10717.00
,,Being the amount paid towards fci unloading charges 3152 bags @ Rs.3.4/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14409,,19344.00
,,Being the amount paid towards fci unloading charges 6448 bags @ Rs.3/-,,,,,,
11-06-2020,Dr,BGM FCI GH Expense,,,Payment,14410,,10093.00
,,Being the amount paid towards fci unloading charges 3670 bags @ Rs.2.75/-,,,,,,
11-06-2020,Dr,Bgm Godown Maintenence,,,Payment,14411,,400.00
,,Being the amount paid towards water tank for labour to FCI godown purpose.,,,,,,
11-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,14412,,300.00
,,Being the amount paid towards FACT stock loading charges 10 mts @ Rs.30/-.,,,,,,
12-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,1786,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
12-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1787,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
12-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,15072,,9500.00
12-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,15073,,82000.00
,,Being amount paid t/w FACTRake LTPT advance charges. Qty. 789.2Mts @ Rs.180 & 185/-.,,,,,,
12-06-2020,Dr,Bgm Fact RH Expenses,,,Payment,15074,,46078.00
,,Being amount paid t/w Rake loading charges from Wagon to Truck 1316.500 mts @35/- as on 12.06.2020.as per details enclosed.,,,,,,
12-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15075,,6120.00
,,Being the amount paid towards FACT stock unloading charges 136 mts @ Rs.45/-.,,,,,,
12-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15076,,14280.00
,,Being the amount paid towards FACT stock unloading charges 238 mts @ Rs.60/-.,,,,,,
12-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15077,,9930.00
,,Being the amount paid towards FACT stock unloading charges 165.5 mts @ Rs.60/-.,,,,,,
12-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15078,,11670.00
,,Being the amount paid towards FACT stock unloading charges 194.5 mts @ Rs.60/-.,,,,,,
13-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,1814,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
13-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1815,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
13-06-2020,Cr,Bgm Misc.Income,,,Receipt,1825,7700.00,
,,Being amount Recvd from fact sorage bill from Ramalingeshwaram doddi INV date 28.02.2020  Dispatch dt.12.06.2020. quantity 35Mts @ Rs. 220/- for four months.,,,,,,
13-06-2020,Dr,Bgm Pooja Expenses,,,Payment,15280,,100.00
,,Being the amount paid towards Pooja expense,,,,,,
13-06-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,15281,,300.00
,,Being amount paid t/w labours welafare charges,,,,,,
13-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,15282,,5700.00
13-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15283,,9263.00
,,Being the amount paid towards FACT stock unloading charges 142.5 mts @ Rs.45/- and loading charges 95 Mts @ Rs.30/- as per details enclosed.,,,,,,
14-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1827,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
15-06-2020,Dr,Bgm Printing & Stationery,,,Payment,15507,,6110.00
,,Being amount paid t/w Stationary charges to FCI godown purpose IOC no. 313/DM/20-21 as per bill enclosed.,,,,,,
15-06-2020,Dr,Bgm Godown Maintenence,,,Payment,15508,,400.00
,,Being the amount paid towards water tank for labour to FCI godown purpose.,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15509,,13854.00
,,Being the amount paid towards fci unloading charges 4618 bags @ Rs.3/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15510,,10101.00
,,Being the amount paid towards fci unloading charges 2971 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15511,,11895.00
,,Being the amount paid towards fci unloading charges 3965 bags @ Rs.3/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15512,,13648.00
,,Being the amount paid towards fci unloading charges 4014 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15513,,13695.00
,,Being the amount paid towards fci unloading charges 4028 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15514,,18979.00
,,Being the amount paid towards fci unloading charges 5582 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15515,,18999.00
,,Being the amount paid towards fci unloading charges 5588 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15516,,19700.00
,,Being the amount paid towards fci unloading charges 5794 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15517,,19727.00
,,Being the amount paid towards fci unloading charges 5802 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15518,,18506.00
,,Being the amount paid towards fci unloading charges 5443 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,BGM FCI GH Expense,,,Payment,15519,,18999.00
,,Being the amount paid towards fci unloading charges 5588 bags @ Rs.3.4/-,,,,,,
15-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15520,,5640.00
,,Being the amount paid towards FACT stock loading charges 188 mts @ 30/-,,,,,,
15-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15521,,5635.00
,,Being the amount paid towards FACT stock loading charges 161 mts @ 30/- as per details enclosed.,,,,,,
15-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15522,,6000.00
,,Being the amount paid towards FACT stock loading charges 200 mts @ 30/- on 14.06.2020 as per details enclosed.,,,,,,
16-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1868,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
16-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,15777,,21230.00
,,Being amount paid t/w FACTRake LTPT balance charges. Qty.158 Mts @ Rs.185/-,,,,,,
16-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,15778,,4620.00
,,Being the amount paid towards FACT stock loading charges 154 mts @ Rs.30/-. as per details enclosed.,,,,,,
17-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1928,30000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
17-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,16072,,6100.00
,,Being amount paid t/w FACTRake LTPT balance charges. Qty.45 Mts @ Rs.180/-,,,,,,
17-06-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,16073,,160.00
,,Being amount paid t/w labours welafare charges,,,,,,
17-06-2020,Dr,BGM FCI GH Expense,,,Payment,16074,,10779.00
,,Being the amount paid towards FCI rice stock loading charges 5673 Bags @ Rs.3.4/-,,,,,,
17-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,16075,,6000.00
,,Being the amount paid towards FACT stock loading charges 200 mts @ Rs.30/-. as per details enclosed.,,,,,,
18-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,16239,,16960.00
,,Being amount paid t/w FACTRake LTPT balance charges. Qty.272 Mts @ Rs.180/-,,,,,,
18-06-2020,Dr,Bgm Staff Welfare Expenses,,,Payment,16240,,112.00
,,Being the amount paid towards staff welfare charges,,,,,,
18-06-2020,Dr,BGM FCI GH Expense,,,Payment,16241,,10866.00
,,Being the amount paid towards FCI rice stock loading charges 5719 Bags @ Rs.1.9/-,,,,,,
18-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,16242,,1350.00
,,Being the amount paid towards FACT stock loading charges 45 mts @ Rs.30/-. as per details enclosed.,,,,,,
19-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,1981,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
19-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1982,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
19-06-2020,Dr,Bgm Godown Maintenence,,,Payment,16413,,400.00
,,Being the amount paid towards water tank for FCI godown purpose.,,,,,,
19-06-2020,Dr,BGM FCI GH Expense,,,Payment,16414,,18999.00
,,Being the amount paid towards FCI rice stock unloading charges 5588 Bags @ Rs.3.4/-,,,,,,
19-06-2020,Dr,BGM FCI GH Expense,,,Payment,16415,,19020.00
,,Being the amount paid towards FCI rice stock unloading charges 5594 Bags @ Rs.3.4/-,,,,,,
19-06-2020,Dr,BGM FCI GH Expense,,,Payment,16416,,14742.00
,,Being the amount paid towards FCI rice stock unloading charges 4914 Bags @ Rs.3/-,,,,,,
19-06-2020,Dr,BGM FCI GH Expense,,,Payment,16417,,9276.00
,,Being the amount paid towards FCI rice stock unloading charges 3092 Bags @ Rs.3/-,,,,,,
19-06-2020,Dr,BGM FCI GH Expense,,,Payment,16418,,11992.00
,,Being the amount paid towards FCI rice stock unloading charges 3527 Bags @ Rs.3.4/-,,,,,,
19-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,16419,,7440.00
,,Being amount paid t/w FACTRake LTPT advance charges. Qty. 108Mts @ Rs.180/-,,,,,,
19-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,16420,,450.00
,,Being the amount paid towards GSFL stock  loading charges - 15 mts @ Rs.30/-,,,,,,
19-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,16421,,4500.00
,,Being the Advance freight amount payable towards FL No:40331.,,,,,,
19-06-2020,Dr,BGM FCI GH Expense,,,Payment,16422,,15825.00
,,Being the amount paid towards FCI rice stock unloading charges 5275 Bags @ Rs.3/-,,,,,,
19-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,16423,,510.00
,,Being the amount paid towards FACT stock loading charges 17 mts @ Rs.30/-. as per details enclosed.,,,,,,
20-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2003,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
20-06-2020,Dr,Bgm Pooja Expenses,,,Payment,16590,,100.00
,,Being the amount paid towards Pooja expense,,,,,,
20-06-2020,Dr,Bgm Fact Stand Expense,,,Payment,16591,,600.00
,,Being the amount paid towards Fact stock rebagging charges 60 bags @ 10/-,,,,,,
20-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,16592,,690.00
,,Being the amount paid towards FACT stock loading charges 23 mts @ Rs.30/-. as per details enclosed.,,,,,,
20-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,16593,,3500.00
,,Being amount paid t/w FACTRake LTPT balance charges. Qty. 75Mts @ Rs.180/-,,,,,,
22-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2029,50000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
22-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2030,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
22-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,16826,,27800.00
,,Being the Advance freight amount payable towards FL No:40332 to 40344.,,,,,,
22-06-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,16827,,28900.00
,,Amount paid towards spic tpt forfait no. 40351 to 40364.,,,,,,
22-06-2020,Dr,Bgm Vehicle Maintenence,,,Payment,16828,,410.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
22-06-2020,Dr,BGM - Spic Rh Expenses,,,Payment,16829,,55435.00
,,Being the amount paid towards Rh expense for the Qty-  (Wagon to truck- 1043.525@Rs.35/-wagon wharf- 252.150 mts @ 35/- wharf to Truck- 252.150 mts @ 30/,,,,,,
22-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,16830,,56100.00
,,"being amount  paid towards spic LTPT, STA no.201 to 232",,,,,,
22-06-2020,Dr,Bgm Spic/Greenstar Ltpt Payable 20-21,,,Payment,16831,,56500.00
,,"being amount  paid towards spic LTPT, STA no.101 to 150.",,,,,,
22-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,16832,,9408.00
,,Being the amount paid towards GSFL stock  loading charges - 188.150 mts @ Rs.50/-,,,,,,
22-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,16833,,8820.00
,,Being the amount paid towards GSFL stock  unloading charges - 147 mts @ Rs.60/-,,,,,,
22-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,16834,,1440.00
,,Being the amount paid towards GSFL stock  unloading charges - 32 mts @ Rs.45/-,,,,,,
22-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,16835,,4050.00
,,Being the amount paid towards GSFL stock  unloading charges - 81 mts @ Rs.50/-,,,,,,
22-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,16836,,1890.00
,,Being the amount paid towards SPIC stock unloading charges - 37.800 Mts @ 5/-,,,,,,
22-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,16837,,5963.00
,,Being the amount paid towards SPIC stock unloading charges - 119.250 Mts @ 50/-,,,,,,
22-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,16838,,7928.00
,,Being the amount paid towards SPIC stock unloading charges - 176.175 Mts @ Rs.45/-,,,,,,
22-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,16839,,2754.00
,,Being the amount paid towards SPIC stock unloading charges - 45.900 Mts @ Rs.60/-,,,,,,
23-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2058,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
23-06-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,2059,100000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
23-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,17067,,4700.00
,,"Being the Advance freight amount payable towards FL No:40347,40346&40345.",,,,,,
23-06-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,17068,,16600.00
,,Amount paid towards spic tpt forfait no. 40365 to 40371.,,,,,,
23-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17069,,270.00
,,Being the amount paid towards FACT stock loading charges 9 mts @ Rs.30/-. as per details enclosed.,,,,,,
23-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,17070,,735.00
,,Being the amount paid towards GSFL stock  loading charges - 24.5 mts @ Rs.30/-,,,,,,
23-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,17071,,594.00
,,Being the amount paid towards GSFL stock  loading charges - 13.200 mts @ Rs.30/-,,,,,,
23-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,17072,,2579.00
,,Being the amount paid towards SPIC stock loading charges - 85.950 Mts @ 30/- as per slip enclosed,,,,,,
23-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,17073,,4635.00
,,Being the amount paid towards SPIC stock unloading charges - 103.005 Mts @ 45/- as per slip enclosed,,,,,,
23-06-2020,Dr,BGM FCI GH Expense,,,Payment,17074,,5761.00
,,Being the amount paid towards FCI rice stock loading charges 3032 Bags @ Rs.1.9/-,,,,,,
24-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17542,,7800.00
,,Being the amount paid towards FACT stock Unloading charges 156 mts @ Rs.50/-. as per details enclosed.,,,,,,
24-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17543,,8475.00
,,Being the amount paid towards FACT stock Unloading charges 169.500 mts @ Rs.50/-. as per details enclosed.,,,,,,
24-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17544,,6720.00
,,Being the amount paid towards FACT stock Unloading charges 112.000 mts @ Rs.60/-. as per details enclosed.,,,,,,
24-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17545,,9990.00
,,Being the amount paid towards FACT stock Unloading charges 166.500 mts @ Rs.60/-. as per details enclosed.,,,,,,
24-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17546,,10590.00
,,Being the amount paid towards FACT stock Unloading charges 176.500 mts @ Rs.60/-. as per details enclosed.,,,,,,
24-06-2020,Dr,Bgm FACT Gh Expenses,,,Payment,17547,,2310.00
,,Being the amount paid towards FACT stock Unloading charges 77.000 mts @ Rs.30/-. as per details enclosed.,,,,,,
24-06-2020,Dr,Bgm Fact RH Expenses,,,Payment,17548,,51949.00
,,Being the amount paid towards FACT stock Loading / Unloading charges 1177.400 mts @ Rs.35/- 143.200mts@35/-  143.200mts@40/-   as per details enclosed.24.6.2020,,,,,,
24-06-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,17549,,88700.00
,,Being amount paid t/w Rake loading charges from Wagon to Truck 913.550 mts @185/- as on 24.06.2020.as per details enclose,,,,,,
24-06-2020,Cr,Bgm Misc.Income,,,Receipt,2141,8148.00,
,,Being paid towards fromOutstanding lorry RH Sales Loading charges Dtd : 24.6.2020 407.400mts@20/- Dealers truck laber warni/ Mamul,,,,,,
25-06-2020,Cr,Boi -Hubli ( 841620110000274),,,Contra,719,25000.00,
,,Cheque,,25-06-2020,25000.00 Cr,,,
,,StCon-8982209/TR/HBL-UMESH (Being cash transferred to Umesh BGM),,,,,,
25-06-2020,Cr,Boi -Hubli ( 841620110000274),,,Contra,720,25000.00,
,,Cheque,,25-06-2020,25000.00 Cr,,,
,,StCon-8982217/TR/HBL-RAMESH GOLLA (Being amount transferred to Ramesh BGM),,,,,,
25-06-2020,Cr,Happay Card BGM (C Ramesh)-146524,,,Receipt,2147,100000.00,
,,Being the Cash Withdrawn through . Happay card ( C Ramesh ) BGM branch expenses purpose,,,,,,
25-06-2020,Dr,Bgm Spic Tpt Payable 20-21,,,Payment,17804,,10400.00
,,Being the Balance Amount paid towards spic tpt  FL no:  40375 - 40372,,,,,,
25-06-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,17805,,7100.00
,,Being theAdvance  amount paid towards Fl no : 40401 - 40348,,,,,,
25-06-2020,Dr,BGM - Spic Gh Expenses,,,Payment,17806,,1242.00
,,Being the amount paid towards SPIC stock unloading charges - 41.400 Mts @ Rs.30/-,,,,,,
25-06-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,17807,,2310.00
,,Being the amount paid towards GSFL stock  loading charges - 77.000 mts @ Rs.30/-,,,,,,
